,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
220,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,27,1991,24,9,"1,216",13.5,0,0,0,0,0,6,0
221,Gonçalo Guedes,pt POR,"MF,FW",Valencia,22,1996,21,14,"1,266",14.1,2,2,2,0,0,3,0
222,Adrián Guerrero,es ESP,DF,Valencia,21,1998,2,1,126,1.4,0,0,0,0,0,1,0
223,Ander Guevara,es ESP,MF,Real Sociedad,22,1997,14,11,939,10.4,0,0,0,0,0,4,0
224,John Guidetti,se SWE,"FW,DF",Alavés,27,1992,5,1,96,1.1,0,0,0,0,0,0,0
225,Hugo Guillamón,es ESP,DF,Valencia,19,2000,6,5,495,5.5,0,0,0,0,0,3,0
226,Munir El Haddadi,ma MAR,FW,Sevilla,23,1995,21,14,"1,250",13.9,5,2,5,0,0,1,0
227,Eden Hazard,be BEL,"FW,MF",Real Madrid,28,1991,16,14,"1,077",12,1,3,1,0,0,0,0
228,Mario Hermoso,es ESP,DF,Atlético Madrid,24,1995,17,15,"1,217",13.5,0,0,0,0,0,3,1
229,Aridane Hernández,gq EQG,DF,Osasuna,30,1989,29,29,"2,610",29,3,0,3,0,0,8,0
230,Javier Hernández,mx MEX,FW,Sevilla,31,1988,9,4,448,5,1,0,1,0,0,0,0
231,Juan Hernández,es ESP,"FW,MF",Celta Vigo,24,1994,5,1,87,1,0,0,0,0,0,0,0
232,Héctor Herrera,mx MEX,MF,Atlético Madrid,29,1990,21,12,"1,123",12.5,0,2,0,0,0,1,0
233,Sergio Herrera,es ESP,GK,Osasuna,26,1993,19,18,"1,655",18.4,0,0,0,0,0,2,1
234,Yangel Herrera,ve VEN,MF,Granada,21,1998,30,28,"2,368",26.3,2,3,2,0,0,14,0
235,Iago Herrerín,es ESP,GK,Athletic Club,31,1988,5,4,425,4.7,0,0,0,0,0,0,0
236,Pablo Hervías,es ESP,"MF,FW",Valladolid,26,1993,25,9,"1,017",11.3,1,0,1,0,0,1,0
237,Robert Ibáñez,es ESP,"MF,FW",Osasuna,26,1993,14,5,537,6,1,0,1,0,0,3,0
238,Vicente Iborra,es ESP,MF,Villarreal,31,1988,34,33,"2,648",29.4,1,2,1,0,0,10,1
239,Borja Iglesias,es ESP,FW,Betis,26,1993,35,21,"1,922",21.4,3,2,3,0,0,3,1
240,Asier Illarramendi,es ESP,MF,Real Sociedad,29,1990,3,3,216,2.4,0,0,0,0,0,0,0
